beneficiaire;ligne;colonne;valeur;erreur
CAPEF;101;N° / No;;Numero manquant
CAPEF;101;Bénéficiaires / Beneficiary;;Beneficiaire manquant
CAPEF;101;Genre (H/F) / Gender (M/F);;Genre manquant
CAPEF;101;Âge / Age;;Age manquant
CAPEF;101;Fonction (D, C, E, M, B) / Function (D, C, E, M, B);;Fonction manquante
CAPEF;101;Diplôme (-1,0,1,2,etc.) / Diploma (-1,0,1,2,etc.);;Diplome manquant
CAPEF;101;Nb d’années d’expérience (0,1,2, etc.) / Years of Experience (0,1,2, etc.);;Experience manquante
CAPEF;101;Ville de résidence de l’apprenant / Learner’s City of Residence;;Ville residence manquante
CAPEF;101;Prestataire / Training Provider;;Prestataire manquant
CAPEF;101;Intitulé de la formation sollicitée / Title of Requested Training: ;;Formation sollicitee manquante
CAPEF;101;Intitulé de formation dispensée / Title of Training Delivered;;Formation dispensee manquante
CAPEF;101;Fenêtre / Window;;Fenetre manquante
CAPEF;101;Ville de la formation / Training City;;Ville formation manquante
CAPEF;101;Arrondissement de la formation / Training District;;Arrondissement manquant
CAPEF;101;Département de la formation / Training Division;;Departement manquant
CAPEF;101;Région de la formation / Training Region;;Region manquante
CAPEF;101;Dénomination du lieu de la formation / Training Venue Name;;Lieu formation manquant
CAPEF;101;Précision sur le lieu / quartier de formation / Training Area or Neighborhood Details;;Precision lieu manquante
CAPEF;101;Coordonnées GPS du lieu de formation – Longitude / Training Venue GPS – Longitude;;Longitude manquante
CAPEF;101;Coordonnées GPS du lieu de formation – Latitude / Training Venue GPS – Latitude;;Latitude manquante
CAPEF;101;1er No tél apprenant / Learner’s 1st Phone Number;;Telephone apprenant 1 manquant
CAPEF;102;1er No tél apprenant / Learner’s 1st Phone Number;;Telephone apprenant 1 manquant
CAPEF;108;1er No tél apprenant / Learner’s 1st Phone Number;;Telephone apprenant 1 manquant
CAPEF;110;1er No tél apprenant / Learner’s 1st Phone Number;;Telephone apprenant 1 manquant
CAPEF;111;1er No tél apprenant / Learner’s 1st Phone Number;;Telephone apprenant 1 manquant
CAPEF;121;1er No tél apprenant / Learner’s 1st Phone Number;;Telephone apprenant 1 manquant
CAPEF;123;1er No tél apprenant / Learner’s 1st Phone Number;;Telephone apprenant 1 manquant
CAPEF;126;1er No tél apprenant / Learner’s 1st Phone Number;;Telephone apprenant 1 manquant
CAPEF;2;2e No tél apprenant (si disponible) / Learner’s 2nd Phone Number (if available);0.0;Telephone apprenant 2 invalide
CAPEF;3;2e No tél apprenant (si disponible) / Learner’s 2nd Phone Number (if available);0.0;Telephone apprenant 2 invalide
CAPEF;4;2e No tél apprenant (si disponible) / Learner’s 2nd Phone Number (if available);0.0;Telephone apprenant 2 invalide
CAPEF;5;2e No tél apprenant (si disponible) / Learner’s 2nd Phone Number (if available);0.0;Telephone apprenant 2 invalide
CAPEF;6;2e No tél apprenant (si disponible) / Learner’s 2nd Phone Number (if available);0.0;Telephone apprenant 2 invalide
CAPEF;7;2e No tél apprenant (si disponible) / Learner’s 2nd Phone Number (if available);0.0;Telephone apprenant 2 invalide
CAPEF;8;2e No tél apprenant (si disponible) / Learner’s 2nd Phone Number (if available);0.0;Telephone apprenant 2 invalide
CAPEF;9;2e No tél apprenant (si disponible) / Learner’s 2nd Phone Number (if available);0.0;Telephone apprenant 2 invalide
CAPEF;10;2e No tél apprenant (si disponible) / Learner’s 2nd Phone Number (if available);0.0;Telephone apprenant 2 invalide
CAPEF;11;2e No tél apprenant (si disponible) / Learner’s 2nd Phone Number (if available);0.0;Telephone apprenant 2 invalide
CAPEF;12;2e No tél apprenant (si disponible) / Learner’s 2nd Phone Number (if available);0.0;Telephone apprenant 2 invalide
CAPEF;13;2e No tél apprenant (si disponible) / Learner’s 2nd Phone Number (if available);0.0;Telephone apprenant 2 invalide
CAPEF;14;2e No tél apprenant (si disponible) / Learner’s 2nd Phone Number (if available);0.0;Telephone apprenant 2 invalide
CAPEF;15;2e No tél apprenant (si disponible) / Learner’s 2nd Phone Number (if available);0.0;Telephone apprenant 2 invalide
CAPEF;16;2e No tél apprenant (si disponible) / Learner’s 2nd Phone Number (if available);0.0;Telephone apprenant 2 invalide
CAPEF;17;2e No tél apprenant (si disponible) / Learner’s 2nd Phone Number (if available);0.0;Telephone apprenant 2 invalide
CAPEF;18;2e No tél apprenant (si disponible) / Learner’s 2nd Phone Number (if available);0.0;Telephone apprenant 2 invalide
CAPEF;19;2e No tél apprenant (si disponible) / Learner’s 2nd Phone Number (if available);0.0;Telephone apprenant 2 invalide
CAPEF;20;2e No tél apprenant (si disponible) / Learner’s 2nd Phone Number (if available);0.0;Telephone apprenant 2 invalide
CAPEF;21;2e No tél apprenant (si disponible) / Learner’s 2nd Phone Number (if available);0.0;Telephone apprenant 2 invalide
CAPEF;22;2e No tél apprenant (si disponible) / Learner’s 2nd Phone Number (if available);0.0;Telephone apprenant 2 invalide
CAPEF;23;2e No tél apprenant (si disponible) / Learner’s 2nd Phone Number (if available);0.0;Telephone apprenant 2 invalide
CAPEF;24;2e No tél apprenant (si disponible) / Learner’s 2nd Phone Number (if available);0.0;Telephone apprenant 2 invalide
CAPEF;25;2e No tél apprenant (si disponible) / Learner’s 2nd Phone Number (if available);0.0;Telephone apprenant 2 invalide
CAPEF;26;2e No tél apprenant (si disponible) / Learner’s 2nd Phone Number (if available);0.0;Telephone apprenant 2 invalide
CAPEF;27;2e No tél apprenant (si disponible) / Learner’s 2nd Phone Number (if available);0.0;Telephone apprenant 2 invalide
CAPEF;28;2e No tél apprenant (si disponible) / Learner’s 2nd Phone Number (if available);0.0;Telephone apprenant 2 invalide
CAPEF;29;2e No tél apprenant (si disponible) / Learner’s 2nd Phone Number (if available);0.0;Telephone apprenant 2 invalide
CAPEF;30;2e No tél apprenant (si disponible) / Learner’s 2nd Phone Number (if available);0.0;Telephone apprenant 2 invalide
CAPEF;31;2e No tél apprenant (si disponible) / Learner’s 2nd Phone Number (if available);0.0;Telephone apprenant 2 invalide
CAPEF;32;2e No tél apprenant (si disponible) / Learner’s 2nd Phone Number (if available);0.0;Telephone apprenant 2 invalide
CAPEF;33;2e No tél apprenant (si disponible) / Learner’s 2nd Phone Number (if available);0.0;Telephone apprenant 2 invalide
CAPEF;34;2e No tél apprenant (si disponible) / Learner’s 2nd Phone Number (if available);0.0;Telephone apprenant 2 invalide
CAPEF;35;2e No tél apprenant (si disponible) / Learner’s 2nd Phone Number (if available);0.0;Telephone apprenant 2 invalide
CAPEF;36;2e No tél apprenant (si disponible) / Learner’s 2nd Phone Number (if available);0.0;Telephone apprenant 2 invalide
CAPEF;37;2e No tél apprenant (si disponible) / Learner’s 2nd Phone Number (if available);0.0;Telephone apprenant 2 invalide
